id,slug,created_at,updated_at,name_nl,name_en,icon_url,is_active,is_deleted,deleted_at
1,afbraakwerken,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Afbraakwerken,Demolition,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/afbraakwerken.svg,true,false,
2,airco,2025-10-01 17:55:10.344792+00,2026-01-01 12:07:01.575231+00,Airco,Air Conditioning,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/airco.svg,true,false,
3,alarmsystemen,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Alarmsystemen,Alarm Systems,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/alarmsystemen.svg,true,false,
4,it-apparatuur,2025-10-01 17:55:10.344792+00,2025-12-03 03:07:14.173863+00,IT-Apparatuur,IT-Equipment,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/apparatuur.svg,true,false,
5,architect,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Architect,Architect,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/architect.svg,true,false,
6,asbest,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Asbest,Asbestos,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/asbest.svg,true,false,
7,bestrating,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Bestrating,Paving,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/bestrating.svg,true,false,
8,betonwerken,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Betonwerken,Concrete Work,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/betonwerken.svg,true,false,
9,carport,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Carport,Carport,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/carport.svg,true,false,
10,centrale-verwarming,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Centrale verwarming,Central Heating,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/centrale-verwarming.svg,true,false,
11,dakbedekking,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Dakbedekking,Roofing,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/dakbedekking.svg,true,false,
12,dakisolatie,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Dakisolatie,Roof Insulation,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/dakisolatie.svg,true,false,
13,dakramen,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Dakramen,Roof Windows,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/dakramen.svg,true,false,
14,deuren,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Deuren,Doors,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/deuren.svg,true,false,
15,elektricien,2025-10-01 17:55:10.344792+00,2025-10-27 22:11:44.713107+00,Elektricien,Electrician,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/elektricien.svg,true,false,
16,garagepoorten,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Garagepoorten,Garage Doors,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/garagepoorten.svg,true,false,
17,gevelwerken,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Gevelwerken,Facade Work,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/gevelwerken.svg,true,false,
18,glassetter,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Glassetter,Glazier,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/glassetter.svg,true,false,
19,grondwerken,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Grondwerken,Groundwork,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/grondwerken.svg,true,false,
20,gyproc-plafonds,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Gyproc/plafonds,Drywall/Ceilings,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/gyproc-plafonds.svg,true,false,
21,haard,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Haard,Fireplace,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/haard.svg,true,false,
22,hekwerken,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Hekwerken,Fencing,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/hekwerken.svg,true,false,
23,interieur,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Interieur,Interior,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/interieur.svg,true,false,
24,isolatie,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Isolatie,Insulation,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/isolatie.svg,true,false,
25,keuken,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Keuken,Kitchen,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/keuken.svg,true,false,
26,laadpaal,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Laadpaal,Charging Station,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/laadpaal.svg,true,false,
27,loodgieter,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Loodgieter,Plumber,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/loodgieter.svg,true,false,
28,maatwerk,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Maatwerk,Custom Work,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/maatwerk.svg,true,false,
29,metselaar,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Metselaar,Bricklayer,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/metselaar.svg,true,false,
30,muurisolatie,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Muurisolatie,Wall Insulation,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/muurisolatie.svg,true,false,
31,nieuwbouw,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Nieuwbouw,New Construction,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/nieuwbouw.svg,true,false,
32,omheining,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Omheining,Fencing,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/omheining.svg,true,false,
33,ongediertebestrijding,2025-10-01 17:55:10.344792+00,2025-10-27 22:08:44.606363+00,Ongediertebestrijding,Pest Control,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/ongediertebestrijding.svg,true,false,
34,ramen,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Ramen,Windows,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/ramen.svg,true,false,
35,renovatie,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Renovatie,Renovation,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/renovatie.svg,true,false,
36,schilderwerk,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Schilderwerk,Painting,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/schilderwerk.svg,true,false,
37,schoonmaak,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Schoonmaak,Cleaning,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/schoonmaak.svg,true,false,
38,schrijnwerker,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Schrijnwerker,Carpenter,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/schrijnwerker.svg,true,false,
39,schuifraam,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Schuifraam,Sliding Window,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/schuifraam.svg,true,false,
40,septische-regenwatertak,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Septische/regenwatertak,Septic/Rainwater,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/septische-regenwatertak.svg,true,false,
41,serre,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Serre,Conservatory,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/serre.svg,true,false,
42,stucadoor,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Stucadoor,Plasterer,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/stucadoor.svg,true,false,
43,tegelzetter,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Tegelzetter,Tiler,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/tegelzetter.svg,true,false,
44,thuisbatterij,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Thuisbatterij,Home Battery,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/thuisbatterij.svg,true,false,
45,trappen,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Trappen,Stairs,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/trappen.svg,true,false,
46,tuinhuis-poolhouse,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Tuinhuis/poolhouse,Garden House/Poolhouse,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/tuinhuis-poolhouse.svg,true,false,
47,tuinonderhoud,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Tuinonderhoud,Garden Maintenance,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/tuinonderhoud.svg,true,false,
48,tuinpoorten,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Tuinpoorten,Garden Gates,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/tuinpoorten.svg,true,false,
49,ventilatie,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Ventilatie,Ventilation,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/ventilatie.svg,true,false,
50,veranda,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Veranda,Veranda,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/veranda.svg,true,false,
51,verhuizer,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Verhuizer,Moving Company,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/verhuizer.svg,true,false,
52,verwarming,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Verwarming,Heating,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/verwarming.svg,true,false,
53,vloeren,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Vloeren,Flooring,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/vloeren.svg,true,false,
54,vloerverwarming,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Vloerverwarming,Underfloor Heating,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/vloerverwarming.svg,true,false,
55,vochtbestrijding,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Vochtbestrijding,Moisture Control,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/vochtbestrijding.svg,true,false,
56,wellness,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Wellness,Wellness,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/wellness.svg,true,false,
57,zonnepanelen,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Zonnepanelen,Solar Panels,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/zonnepanelen.svg,true,false,
58,zonwering,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Zonwering,Sun Protection,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/zonwering.svg,true,false,
59,zwembad,2025-10-01 17:55:10.344792+00,2025-10-26 17:18:34.388294+00,Zwembad,Swimming Pool,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/zwembad.svg,true,false,
60,kantoorapparatuur,2025-12-03 03:10:59.222912+00,2025-12-03 03:10:59.222912+00,Kantoorapparatuur,Office Equipment,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/apparatuur.svg,true,false,
65,test1,2026-01-02 02:12:36.778126+00,2026-01-02 02:53:21.072117+00,test45234534,test3534253,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-icons/test1.svg,true,false,